time_s,head_px,head_py,head_pz,head_qx,head_qy,head_qz,head_qw,gaze_px,gaze_py,gaze_pz,gaze_dx,gaze_dy,gaze_dz
8.444355,0.001849,-0.001641,0.002028,0.022634,0.005690,-0.005432,0.999713,0.002495,0.003944,0.005847,0.248574,-0.242113,0.937866
8.477382,0.001929,-0.001622,0.002098,0.023711,0.007295,-0.005133,0.999679,0.002564,0.003751,0.006019,0.253176,-0.243020,0.936399
8.510612,0.001996,-0.001429,0.002057,0.023769,0.008201,-0.004294,0.999675,0.002686,0.003490,0.006082,0.258134,-0.253945,0.932137
8.527643,0.001931,-0.001475,0.002078,0.023508,0.008176,-0.003987,0.999682,0.002790,0.003328,0.006040,0.257378,-0.248078,0.933924
8.544496,0.001895,-0.001500,0.002092,0.023267,0.007833,-0.003668,0.999692,0.002855,0.003284,0.006046,0.257563,-0.248250,0.933827
8.577425,0.001792,-0.001329,0.002214,0.022925,0.006615,-0.003971,0.999708,0.002950,0.003284,0.005985,0.235731,-0.229316,0.944376
8.594465,0.001733,-0.001311,0.002173,0.022858,0.006125,-0.004176,0.999711,0.002839,0.003396,0.006061,0.234246,-0.219669,0.947035
8.627371,0.001907,-0.001444,0.002184,0.022698,0.005725,-0.005125,0.999713,0.002717,0.003497,0.006064,0.234615,-0.217709,0.947396
8.644053,0.001860,-0.001602,0.002085,0.022796,0.005943,-0.005308,0.999708,0.002712,0.003509,0.006091,0.234893,-0.215303,0.947877
8.660828,0.001917,-0.001741,0.002072,0.023136,0.006404,-0.005370,0.999697,0.002630,0.003496,0.006112,0.234291,-0.219222,0.947127
8.677842,0.001902,-0.001745,0.002023,0.023494,0.007107,-0.005271,0.999685,0.002661,0.003504,0.006141,0.234166,-0.226008,0.945562
8.694845,0.001836,-0.001547,0.001880,0.023590,0.007928,-0.004862,0.999678,0.002641,0.003370,0.006069,0.234265,-0.215931,0.947889
8.727720,0.001755,-0.001352,0.001899,0.023410,0.008535,-0.003847,0.999682,0.002660,0.003234,0.005969,0.234261,-0.224454,0.945908
8.744501,0.001696,-0.001319,0.001921,0.023048,0.008415,-0.003437,0.999693,0.002696,0.003246,0.005935,0.235369,-0.225794,0.945314
8.761289,0.001597,-0.001360,0.001950,0.022743,0.007993,-0.003242,0.999704,0.002725,0.003215,0.005866,0.234639,-0.219653,0.946941
8.778030,0.001570,-0.001168,0.002039,0.022503,0.007343,-0.003265,0.999715,0.002747,0.003299,0.005862,0.233770,-0.223134,0.946342
8.811368,0.001500,-0.001451,0.002231,0.022554,0.006129,-0.004038,0.999719,0.002694,0.003461,0.005847,0.230651,-0.228153,0.945911
8.844425,0.001609,-0.001749,0.002284,0.023209,0.005863,-0.005026,0.999701,0.002554,0.003542,0.006003,0.232641,-0.225027,0.946172
8.861440,0.001611,-0.001894,0.002266,0.023717,0.006151,-0.005130,0.999687,0.002503,0.003532,0.006035,0.233439,-0.224377,0.946130
8.878167,0.001623,-0.002048,0.002266,0.024276,0.006712,-0.005024,0.999670,0.002481,0.003481,0.006129,0.236772,-0.225349,0.945070
8.894961,0.001692,-0.001995,0.002329,0.024695,0.007422,-0.004753,0.999656,0.002472,0.003393,0.006107,0.233991,-0.216444,0.947840
8.911645,0.001687,-0.001859,0.002334,0.024888,0.008183,-0.004366,0.999647,0.002533,0.003266,0.006164,0.231439,-0.217600,0.948202
8.944688,0.001528,-0.001539,0.002432,0.024504,0.008796,-0.003078,0.999656,0.002610,0.002991,0.006301,0.234353,-0.221293,0.946630
8.961501,0.001398,-0.001727,0.002427,0.023880,0.008571,-0.002642,0.999675,0.002596,0.002885,0.006307,0.233120,-0.220186,0.947192
8.994922,0.001224,-0.001516,0.002451,0.022813,0.007484,-0.002138,0.999710,0.002559,0.002883,0.006277,0.232476,-0.219578,0.947492
9.011700,0.001193,-0.001603,0.002521,0.022512,0.006750,-0.002524,0.999721,0.002532,0.002958,0.006315,0.233309,-0.221462,0.946848
9.028546,0.001185,-0.001698,0.002571,0.022462,0.006011,-0.003137,0.999725,0.002413,0.003040,0.006250,0.232879,-0.221484,0.946949
9.063748,0.001265,-0.001853,0.002820,0.022644,0.005548,-0.004123,0.999720,0.002274,0.003143,0.006384,0.234300,-0.221846,0.946514
9.094759,0.001313,-0.002238,0.002739,0.023131,0.006402,-0.004655,0.999701,0.002117,0.003227,0.006584,0.235065,-0.227542,0.944970
9.111810,0.001399,-0.002204,0.002800,0.023546,0.007218,-0.004531,0.999686,0.002124,0.003193,0.006631,0.234131,-0.225730,0.945637
9.128876,0.001436,-0.002179,0.002761,0.023738,0.007923,-0.003956,0.999679,0.002116,0.003023,0.006568,0.235155,-0.222743,0.946091
9.161780,0.001401,-0.002001,0.002806,0.023738,0.008823,-0.002891,0.999675,0.002233,0.002806,0.006695,0.236140,-0.225783,0.945124
9.195349,0.001145,-0.001944,0.002830,0.022918,0.008219,-0.002187,0.999701,0.002325,0.002724,0.006676,0.234508,-0.224333,0.945876
9.228773,0.000982,-0.002028,0.002694,0.022256,0.006614,-0.002678,0.999727,0.002309,0.002774,0.006681,0.231592,-0.225135,0.946403
9.245457,0.001000,-0.002171,0.002710,0.022343,0.005872,-0.003229,0.999728,0.002264,0.002797,0.006730,0.234286,-0.224829,0.945813
9.278601,0.000979,-0.002342,0.002531,0.022821,0.005363,-0.004262,0.999716,0.002098,0.002855,0.006656,0.235725,-0.229679,0.944289
9.312079,0.000955,-0.002607,0.002261,0.023199,0.006023,-0.003916,0.999705,0.002005,0.002784,0.006547,0.232941,-0.229105,0.945119
9.329416,0.000993,-0.002447,0.002260,0.023231,0.006906,-0.003466,0.999700,0.001966,0.002621,0.006419,0.240727,-0.222342,0.944783
9.362785,0.000826,-0.002033,0.002117,0.022559,0.008212,-0.002063,0.999710,0.001922,0.002463,0.006339,0.241904,-0.223423,0.944227
9.395735,0.000587,-0.002046,0.002095,0.021464,0.008124,-0.000882,0.999736,0.001888,0.002447,0.006195,0.242392,-0.220420,0.944808
9.412637,0.000506,-0.001948,0.002103,0.021104,0.007511,-0.000548,0.999749,0.001871,0.002561,0.006166,0.239780,-0.227038,0.943906
9.445608,0.000317,-0.001877,0.002230,0.021036,0.006150,-0.001200,0.999759,0.001725,0.002735,0.006071,0.241032,-0.226191,0.943791
9.462403,0.000260,-0.001951,0.002259,0.021191,0.005598,-0.001825,0.999758,0.001567,0.002888,0.006093,0.243976,-0.223236,0.943738
9.479272,0.000301,-0.002108,0.002305,0.021444,0.005243,-0.002364,0.999754,0.001506,0.002975,0.006103,0.240988,-0.226689,0.943683
9.512136,0.000247,-0.002332,0.002285,0.022302,0.005654,-0.002777,0.999732,0.001343,0.002990,0.006162,0.240752,-0.223563,0.944488
9.529236,0.000182,-0.002541,0.002327,0.022916,0.006193,-0.002595,0.999715,0.001209,0.002973,0.006182,0.240649,-0.223497,0.944530
9.562805,0.000156,-0.002229,0.002429,0.023509,0.007639,-0.001689,0.999693,0.001105,0.002802,0.006234,0.242023,-0.224650,0.943905
9.596390,-0.000008,-0.002161,0.002585,0.023114,0.007959,-0.000559,0.999701,0.001128,0.002537,0.006334,0.242122,-0.221104,0.944717
9.629725,-0.000238,-0.002059,0.002738,0.022517,0.006814,0.000103,0.999723,0.001131,0.002511,0.006438,0.241861,-0.221266,0.944746
9.662904,-0.000307,-0.002017,0.002808,0.022311,0.005225,-0.000674,0.999737,0.000994,0.002598,0.006568,0.241938,-0.227929,0.943141
9.679595,-0.000274,-0.002056,0.002824,0.022297,0.004606,-0.001146,0.999740,0.000949,0.002632,0.006617,0.240129,-0.227860,0.943620
9.696462,-0.000247,-0.002239,0.002842,0.022326,0.004337,-0.001518,0.999740,0.000869,0.002664,0.006643,0.242181,-0.222344,0.944411
9.713235,-0.000198,-0.002246,0.002858,0.022493,0.004490,-0.001775,0.999735,0.000793,0.002727,0.006697,0.244558,-0.225653,0.943012
9.746369,-0.000239,-0.002396,0.002883,0.023215,0.005504,-0.001505,0.999714,0.000697,0.002778,0.006769,0.240866,-0.228263,0.943334
9.763417,-0.000195,-0.002220,0.002839,0.023345,0.006175,-0.001078,0.999708,0.000615,0.002784,0.006831,0.241375,-0.224547,0.944096
9.796312,-0.000178,-0.001866,0.002857,0.023197,0.007165,-0.000498,0.999705,0.000660,0.002688,0.006825,0.240454,-0.228069,0.943486
9.813067,-0.000241,-0.002036,0.002826,0.022848,0.007193,-0.000018,0.999713,0.000726,0.002637,0.006848,0.235605,-0.226309,0.945132
9.829767,-0.000293,-0.002067,0.002830,0.022733,0.006757,0.000434,0.999719,0.000753,0.002624,0.006767,0.236011,-0.224267,0.945517
9.846673,-0.000335,-0.001946,0.002843,0.022672,0.006116,0.000405,0.999724,0.000757,0.002671,0.006791,0.237113,-0.224810,0.945113
9.879954,-0.000235,-0.002012,0.002787,0.023067,0.005035,-0.000931,0.999721,0.000761,0.002812,0.006812,0.234608,-0.230086,0.944468
9.896783,-0.000152,-0.002123,0.002733,0.023253,0.004810,-0.001649,0.999717,0.000748,0.002880,0.006798,0.236994,-0.230337,0.943811
9.930046,0.000033,-0.002121,0.002659,0.023747,0.005470,-0.002266,0.999701,0.000745,0.002918,0.006725,0.234658,-0.225775,0.945495
9.947231,0.000057,-0.002335,0.002528,0.024123,0.006188,-0.002139,0.999688,0.000755,0.002914,0.006688,0.232570,-0.225250,0.946136
